iter	Passed	Remaining
842	1269	236
843	1270	234
844	1271	233
845	1272	231
846	1273	230
847	1274	228
848	1275	226
849	1276	225
850	1277	223
851	1278	222
852	1279	220
853	1280	218
854	1281	217
855	1282	215
856	1283	214
857	1284	212
858	1285	211
859	1286	209
860	1287	207
861	1288	206
862	1289	204
863	1290	203
864	1291	201
865	1292	199
866	1293	198
867	1294	196
868	1295	195
869	1296	193
870	1297	192
871	1298	190
872	1299	189
873	1299	187
874	1300	185
875	1301	184
876	1302	182
877	1303	181
878	1304	179
879	1305	178
880	1306	176
881	1307	174
882	1308	173
883	1309	171
884	1310	170
885	1311	168
886	1312	167
887	1314	165
888	1315	164
889	1316	162
890	1317	161
891	1318	159
892	1318	158
893	1319	156
894	1320	154
895	1322	153
896	1323	151
897	1324	150
898	1325	148
899	1326	147
900	1327	145
901	1328	144
902	1329	142
903	1331	141
904	1332	139
905	1332	138
906	1333	136
907	1334	135
908	1335	133
909	1336	132
910	1337	130
911	1338	129
912	1340	127
913	1341	126
914	1342	124
915	1343	123
916	1343	121
917	1344	120
918	1347	118
919	1348	117
920	1349	115
921	1350	114
922	1351	112
923	1353	111
924	1355	109
925	1357	108
926	1358	106
927	1360	105
928	1361	104
929	1361	102
930	1362	101
931	1363	99
932	1364	98
933	1366	96
934	1367	95
935	1372	93
936	1373	92
937	1375	90
938	1376	89
939	1377	87
940	1378	86
941	1380	85
942	1382	83
943	1384	82
944	1385	80
945	1386	79
946	1388	77
947	1389	76
948	1390	74
949	1391	73
950	1392	71
951	1393	70
952	1394	68
953	1396	67
954	1398	65
955	1400	64
956	1402	63
957	1403	61
958	1405	60
959	1407	58
960	1408	57
961	1410	55
962	1411	54
963	1413	52
964	1416	51
965	1417	49
966	1418	48
967	1419	46
968	1420	45
969	1421	43
970	1422	42
971	1424	41
972	1425	39
973	1427	38
974	1429	36
975	1430	35
976	1433	33
977	1434	32
978	1438	30
979	1441	29
980	1443	27
981	1445	26
982	1446	25
983	1447	23
984	1448	22
985	1450	20
986	1451	19
987	1454	17
988	1467	16
989	1469	14
990	1470	13
991	1471	11
992	1473	10
993	1474	8
994	1476	7
995	1477	5
996	1478	4
997	1479	2
998	1481	1
999	1482	0
